"FECHA";"TIPO_CAMBIO_COMPRA";"TIPO_CAMBIO_VENTA"
"05 ene 2018";568,03;572,97
"08 ene 2018";566,03;572,42
"09 ene 2018";565,85;572,94
"10 ene 2018";566,99;572,79
"11 ene 2018";566,86;573,06
"12 ene 2018";567,17;572,38
"15 ene 2018";566;571,96
"16 ene 2018";565,29;571,51
"17 ene 2018";565,5;571,56
"18 ene 2018";565,85;570,47
"19 ene 2018";565,9;571,06
"22 ene 2018";565,61;571,73
"23 ene 2018";566,03;571,85
"24 ene 2018";566,23;572,02
"25 ene 2018";565,63;571,66
"26 ene 2018";566,4;571,12
"29 ene 2018";566,05;571,09
"30 ene 2018";565,9;571,61
"31 ene 2018";566,4;572,27
"01 feb 2018";566,31;573,22
"02 feb 2018";567,99;573,5
"05 feb 2018";567,54;574,09
"06 feb 2018";568,29;575,37
"07 feb 2018";569,8;576,51
"08 feb 2018";570,24;577,36
"09 feb 2018";571,48;576,75
"12 feb 2018";569,44;575,42
"13 feb 2018";567,69;574,55
"14 feb 2018";567,36;572,8
"15 feb 2018";566,51;572,34
"16 feb 2018";566,84;572,06
"19 feb 2018";566,64;572,54
"20 feb 2018";566,04;572,41
"21 feb 2018";566,26;572,88
"22 feb 2018";566,36;572,61
"23 feb 2018";566,83;572,58
"26 feb 2018";566,56;572,43
"27 feb 2018";566,69;572,84
"28 feb 2018";567,12;572,82
"01 mar 2018";566,62;572,84
"02 mar 2018";566,66;572,81
"05 mar 2018";566,32;572,78
"06 mar 2018";566,37;572,76
"07 mar 2018";566,64;571,74
"08 mar 2018";566,4;571,85
"09 mar 2018";566,53;571,77
"12 mar 2018";566,41;572,11
"13 mar 2018";565,84;572,34
"14 mar 2018";565,4;571,5
"15 mar 2018";564,78;569,91
"16 mar 2018";563,33;568,26
"19 mar 2018";562,68;568,66
"20 mar 2018";561,68;568,69
"21 mar 2018";561,8;568,08
"22 mar 2018";562,25;568,18
"23 mar 2018";562,8;567,45
"26 mar 2018";562,15;567,34
"27 mar 2018";562,04;568,08
"28 mar 2018";563,17;568,4
"29 mar 2018";562,4;569,31
"02 abr 2018";562,4;569,31
"03 abr 2018";561,31;569,19
"04 abr 2018";561,98;569,33
"05 abr 2018";562,99;569,12
"06 abr 2018";564,13;569,87
"09 abr 2018";564,48;570,2
"10 abr 2018";562,47;568,88
"11 abr 2018";563,27;568,56
"12 abr 2018";563,27;568,56
"13 abr 2018";562,69;567,63
"16 abr 2018";562,07;567
"17 abr 2018";561,08;567,39
"18 abr 2018";561,1;567,47
"19 abr 2018";560,65;567,53
"20 abr 2018";561,21;566,82
"23 abr 2018";561,27;567,64
"24 abr 2018";560,66;567,56
"25 abr 2018";560,45;567,04
"26 abr 2018";561,19;567,03
"27 abr 2018";562,17;567,3
"30 abr 2018";562,04;568,31
"01 may 2018";562,13;568,82
"02 may 2018";562,13;568,82
"03 may 2018";560,57;568,71
"04 may 2018";561,64;568,53
"07 may 2018";562,76;569,08
"08 may 2018";562,96;569,39
"09 may 2018";562,96;569,39
"10 may 2018";563,21;569,08
"11 may 2018";563,5;569
"14 may 2018";562,78;568,92
"15 may 2018";562,24;568,3
"16 may 2018";562,24;567,97
"17 may 2018";562,9;568,01
"18 may 2018";561,77;567,83
"21 may 2018";560,94;567,7
"22 may 2018";560,46;567,04
"23 may 2018";560,69;567,14
"24 may 2018";560,87;567,31
"25 may 2018";562,45;568,19
"28 may 2018";561,8;567,91
"29 may 2018";561,65;568,77
"30 may 2018";562,43;568,84
"31 may 2018";563,5;568,77
"01 jun 2018";564,16;569,97
"04 jun 2018";564,1;570,54
